"Time","Сливочное масло"
"2021-03-01",48
"2021-04-01",47
"2021-05-01",47
"2021-06-01",41
"2021-07-01",44
"2021-08-01",39
"2021-09-01",33
"2021-10-01",35
"2021-11-01",48
"2021-12-01",54
"2022-01-01",48
"2022-02-01",45
"2022-03-01",42
"2022-04-01",42
"2022-05-01",37
"2022-06-01",42
"2022-07-01",43
"2022-08-01",44
"2022-09-01",43
"2022-10-01",48
"2022-11-01",58
"2022-12-01",60
"2023-01-01",48
"2023-02-01",48
"2023-03-01",46
"2023-04-01",45
"2023-05-01",43
"2023-06-01",41
"2023-07-01",44
"2023-08-01",45
"2023-09-01",60
"2023-10-01",61
"2023-11-01",73
"2023-12-01",87
"2024-01-01",71
"2024-02-01",68
"2024-03-01",66
"2024-04-01",57
"2024-05-01",57
"2024-06-01",59
"2024-07-01",58
"2024-08-01",63
"2024-09-01",66
"2024-10-01",67
"2024-11-01",85
"2024-12-01",86
"2025-01-01",72
"2025-02-01",72
"2025-03-01",71
"2025-04-01",67
"2025-05-01",64
"2025-06-01",68
"2025-07-01",79
"2025-08-01",73
"2025-09-01",71
"2025-10-01",75
"2025-11-01",100
"2025-12-01",99
"2026-01-01",87
"2026-02-01",86
"2026-03-01",80
