"Time","Намазка"
"2021-03-01",46
"2021-04-01",47
"2021-05-01",46
"2021-06-01",46
"2021-07-01",50
"2021-08-01",49
"2021-09-01",51
"2021-10-01",56
"2021-11-01",59
"2021-12-01",64
"2022-01-01",56
"2022-02-01",50
"2022-03-01",51
"2022-04-01",49
"2022-05-01",48
"2022-06-01",48
"2022-07-01",53
"2022-08-01",51
"2022-09-01",49
"2022-10-01",54
"2022-11-01",56
"2022-12-01",72
"2023-01-01",54
"2023-02-01",56
"2023-03-01",50
"2023-04-01",48
"2023-05-01",58
"2023-06-01",50
"2023-07-01",47
"2023-08-01",48
"2023-09-01",55
"2023-10-01",55
"2023-11-01",66
"2023-12-01",80
"2024-01-01",63
"2024-02-01",62
"2024-03-01",62
"2024-04-01",60
"2024-05-01",60
"2024-06-01",59
"2024-07-01",62
"2024-08-01",61
"2024-09-01",64
"2024-10-01",63
"2024-11-01",72
"2024-12-01",83
"2025-01-01",70
"2025-02-01",71
"2025-03-01",69
"2025-04-01",67
"2025-05-01",67
"2025-06-01",69
"2025-07-01",74
"2025-08-01",66
"2025-09-01",69
"2025-10-01",73
"2025-11-01",88
"2025-12-01",100
"2026-01-01",91
"2026-02-01",82
"2026-03-01",75
