batch_num,cluster,cluster_name,products,product_count
1,1,cluster_1,"['Масса твор.с курагой.7Утра.5%.180г.ф/пак.8шт', 'Спр.БЛ.72%.180г.фол.10шт', 'Десерт творожн.7Утра.3%.с малиной.350г.ст.12шт', 'Йогурт.7Утра.2,5%.с черникой.двухсл.350г.ст.12шт', 'Десерт творожн.7Утра.3%.с малиной.140г.ст.8шт', 'Пр.из творога БЛ с изюмом 23%.180г.ф/пак.8шт', 'Мас.КУ.82,5%.180г.фол.8шт', 'Спр.ДК.48%.500г.фол.8шт', 'Биойогурт.Греческий 7Утра.2%.250г.ст.12шт', 'Твор.7Утра.5%.180г.ф/пак.8шт', 'Пр.со смет.БЛ.15%.400г.ст.12шт.с змж', 'Десерт БЛ.ДН.10%.с кусочками горького шоколада.350г.ст.12шт', 'Десерт с творогом БЛ.9%.с вишней и черешней.350г.ст.12шт', 'Мас.7Утра.72,5%.180г.фол.8шт', 'Масса твор.с ванилином.7Утра.5%.180г.ф/пак.8шт', 'Масса твор.с изюмом.7Утра.5%.180г.ф/пак.8шт', 'Мас.7Утра.53%.шок.180г.фол.8шт', 'Десерт творожн.7Утра.3%.с кокосом и миндалем.350г.ст.12шт']",18
2,1,cluster_1,"['Пр.со смет.БЛ.20%.400г.ст.12шт.с змж', 'Пр.из творога БЛ 24%.500г.пакет.8шт', 'Десерт творожн.7Утра.3%.с кокосом и миндалем.140г.ст.8шт', 'Пр.из творога БЛ с курагой 23%.180г.ф/пак.8шт', 'Йогурт.7Утра.2,5%.с вишн.двухсл.350г.ст.12шт', 'Мол.смет.пр.БЛ.Классическая.10%.5кг.вед.№20', 'Спр.ДК.62%.180г.перг.10шт', 'Мол.тв.пр.БЛ.Фермерский.1%.5кг.кор №28', 'Десерт с творогом БЛ.9%.с черникой.350г.ст.12шт', 'Мас.КУ.72,5%.5кг.полиэт.', 'Мол.твор.массы.БЛ с изюмом.1%.3кг.вед №23', 'Мол.твор.массы.БЛ с вишней и шоколадом.1%.3кг.вед №23', 'Десерт творожн.7Утра.3%.с кокосом и миндалем.350г.ст.8шт', 'Биойогурт.7Утра.2,5%.с клубникой.150г.ст.8шт', 'Пр.со смет.БЛ.20%.0,7кг.вед.6шт.с змж', 'Биойогурт.7Утра.2,5%.с вишн.150г.ст.8шт', 'Спр.БЛ.72%.5кг.перг(20%)', 'Пр.пл.с сыром ломт.сол.БЛ.25%.Орб.70г.фол.40шт']",18
3,1,cluster_1,"['Мас.7Утра.72,5%.380г.фол.6шт', 'Мол.смет.пр.БЛ.Классическая.10%.3кг.вед.№20', 'Мас.КУ.82,5%.400г.фол.6шт', 'Пр.из творога БЛ со вкус.ванилина 23%.180г.ф/пак.8шт', 'Йогурт.7Утра.2,5%.с вишней черешней.смешан.350г.ст.12шт', 'Йогурт.7Утра.2,5%.с клубникой.смешан.350г.ст.12шт', 'Пр.плав.сыр.ЯК.40%.колб.0,5кг/8кг.пл (нарезка)', 'Мол.пр.йогурт.БЛ.1%.с малиной.3кг.вед №5', 'Мол.пр.йогурт.БЛ.1%.с клубн.3кг.вед №5', 'Мол.твор.массы.БЛ со вкусом ванили.1%.3кг.вед №23', 'ПРС.БЛ.72,5%.400г.фол.10шт', 'ПРС.ДМ.72,5%.170г.фол.10шт', 'Крем с йогуртом.ЛМ.10%.клубн.700г.вед.6шт', 'Мол.пр.йогурт.ЙLine.1%.персик.3кг.вед №10', 'Мол.пр.йогурт.БЛ.1%.с манго-маракуйей.3кг.вед №5', 'Мол.пр.йогурт.БЛ.1%.с черникой.3кг.вед №5', 'Мол.пр.творог.БЛ.1%. с клубн.3кг.вед №15', 'Крем с йогуртом.ЛМ.10%.с кусочками горького шоколада.700г.вед.6шт']",18
4,1,cluster_1,"['Мол.пр.йогурт.ЙLine.1%.банан.3кг.вед №10', 'Пр.из творога БЛ с курагой 23%.450г.конт.10шт', 'Десерт с творогом БЛ.9%.с клубн.350г.ст.12шт', 'Мол.пр.йогурт.ЙLine.1%.клубн.3кг.вед №10', 'Мол.пр.йогурт.БЛ.1%.с абрик.3кг.вед №5', 'Мол.пр.йогурт.БЛ.1%.с киви.3кг.вед №5', 'Пр.пл.сыр.БЛ.45%.ШАР.Российск.400г.8шт', 'Мол.тв.пр.БЛ.Фермерский.1%.3кг.вед №28', 'Крем с йогуртом.ЛМ.10%.банан.700г.вед.6шт', 'Мол.пр.йогурт.БЛ.1%.с вишн.3кг.вед №5', 'Пр.плав.сыр.ЯК.40%.колб.8кг.пл', 'Сыр.7Утра.30%.колб.300г.пл.12шт', 'Пр.пл.с сыром ломт.сол.БЛ.50%.Друж.70г.фол.40шт', 'Спр.ДМ.72%.5кг.перг', 'Пр.пл.с сыром ломт.сол.МЦ.50%.Друж.70г.фол.40шт', 'Поддон стандартный (1,2м * 0,8м)', 'Сыр.7Утра.Янтарный.30%.колб.8кг.пл', 'Пр.пл.с сыром ломт.слад.БЛ.30%.шок.70г.фол.40шт']",18
5,1,cluster_1,"['Пр.пл.с сыром ломт.сол.БЛ.45%.Салат.70г.фол.40шт', 'Мас.КП.72,5%.400г.фол.8шт', 'Десерт БЛ.7,2%.с вишн.350г.ст.12шт', 'Десерт БЛ.7,2%.с киви.350г.ст.12шт', 'Десерт БЛ.7,2%.с клубн.350г.ст.12шт', 'Спр.ДМ.72,5%.500г.фол.8шт', 'Пр.йогурт.ЛМ.0,1%.с соком груши и банана.400г.пак.10шт', 'Пр.скв.твор.БЛ.24%.180г.ф/пак.8шт', 'Пр.из творога ДМ 24%.1000г.пакет.4шт', 'ПРС.БЛ.72,5%.180г.фол.10шт', 'Мол.твор.массы.БЛ с вишней и шоколадом.1%.5кг.кор №23', 'Десерт БЛ.7,2%.с вишн.130г.ст.8шт', 'Десерт БЛ.7,2%.с клубн.130г.ст.8шт', 'Десерт БЛ.7,2%.с абрик.130г.ст.8шт', 'Спр.72%.20кг.полиэт.(40%)(БЭ)', 'Спр.БЛ.72%.5кг.полиэт.(40%)', 'Спр.82%.20кг.полиэт.(БЭ)', 'Спр.БЛ.62%.шок.180г.фол.10шт(Беларусь)']",18
6,1,cluster_1,"['ПРС.КУ.72,5%.380г.фол.8шт', 'Пр.со смет.БЛ.15%.200г.ст.8шт.с змж', 'Десерт ЙLine.10%.персик.350г.ст.12шт', 'Десерт БЛ.ДН.10%.банан.350г.ст.12шт', 'Десерт ЙLine.10%.клубн.350г.ст.12шт', 'Десерт творожн.7Утра.3%.с грушей и бананом.140г.ст.8шт', 'Йогурт.7Утра.2,5%.с киви.двухсл.350г.ст.12шт', 'Десерт творожн.7Утра.3%.с грушей и бананом.350г.ст.12шт', 'Десерт БЛ.ДН.10%.клубн.350г.ст.12шт', 'Десерт ЙLine.10%.банан.350г.ст.12шт', 'Пр.пл.с сыром ломт.сол.БЛ.54%.Слив.70г.фол.40шт', 'Пр.пл.с сыром паст.сол.ЯК.55%.100г.ван.30шт', 'Мас.КУ.82,5%.5кг.полиэт.', 'Мас.7Утра.82,5%.1000г.фол.6шт', 'Спр.ДК.62%.500г.перг.8шт', 'Пр.из творога АБ со вкус. ванилина 19%.450г.конт.10шт(Беларусь)', 'Пр.пл.с сыром ломт.сол.АБ.50%.Друж.70г.фол.40шт(Беларусь)', 'Пр.из творога АБ с изюмом 18%.450г.конт.10шт(Беларусь)']",18
7,1,cluster_1,"['Пр.со смет.АБ.20%.400г.пак.18шт(Беларусь)', 'Пр.со смет.АБ.10%.400г.пак.18шт(Беларусь)', 'Пр.со смет.Васильково поле.15%.300г.ст.6шт.с змж', 'Пр.со смет.Васильково поле.20%.300г.ст.6шт.с змж', 'Сыр ломт.сол.Ашан.40%.Дружба.80г.фол.20шт', 'Десерт творожн.7Утра.3%.с малиной.350г.ст.8шт', 'Творог Молочные узоры.0,5%.180г.ф/пак.8шт', 'Йогурт.Ашан.КП.2,5%.с вишней черешней.смешан.300г.ст.12шт', 'Йогурт.Ашан.КП.1,5%.с вишн.двухсл.120г.ст.8шт', 'Йогурт.Ашан.КП.2,5%.с абрикосом.смешан.300г.ст.12шт', 'Йогурт.Ашан.КП.1,5%.с манго-маракуйей.двухсл.120г.ст.8шт', 'Йогурт.Ашан.КП.2,5%.с клубникой.смешан.300г.ст.12шт', 'Йогурт.Ашан.КП.1,5%.с черникой.двухсл.120г.ст.8шт', 'Йогурт.Ашан.КП.1,5%.с киви.двухсл.120г.ст.8шт', 'Мас.Ашан.82,5%.200г.фол.9шт', 'Смесь топ.КД.99,8%.вед.800г.6шт', 'Спр.Ашан.62%.200г.фол.9шт', 'Мас.Ашан.62%.шок.180г.фол.10шт']",18
8,1,cluster_1,"['Мас.Ашан.62%.шок.100г.фол.16шт', 'Мас.Ашан.82,5%.400г.фол.6шт', 'Мас.Ашан.82,5%.100г.фол.16шт', 'Десерт КД.4,8%.вишн.120г.ст.8шт', 'Масса твор.с курагой.Ашан.5%.180г.ф/пак.8шт', 'Спр.КД.62%.шок.180г.фол.10шт', 'Десерт КД.4,8%.банан.120г.ст.8шт', 'Десерт КД.4,8%.персик.120г.ст.8шт', 'Десерт КД.4,8%.клубн.120г.ст.8шт', 'Мас.Ашан.72,5%.400г.фол.6шт', 'Мас.Ашан.72,5%.200г.фол.9шт', 'Пр.из творога БЛ с ванилином 23%.450г.конт.10шт', 'Пр.из творога БЛ 30%.500г.пакет.8шт', 'Спр.БЛ.72%.5кг.полиэт.(30%)', 'Сыр.Ашан.КП.30%.колб.0,5кг/8кг.пл (нарезка)', 'Пр.пл.с сыром ломт.сол.КД.40%.Салат.80г.фол.20шт', 'Мас.Тандер.72,5%.180г.фол.12шт', 'Крем с йогуртом.ЛМ.10%.клубн.700г.вед.6шт(Казахстан)']",18
9,1,cluster_1,"['Пр.йогурт.ЛМ.0,3%.с соком клубники и земляники.350г.ст.12шт', 'Десерт ЙLine.10%.с кусочками горького шоколада.350г.ст.12шт', 'Крем с йогуртом.ЛМ.10%.банан.700г.вед.6шт(Казахстан)', 'Десерт с творогом БЛ.9%.с вишней и черешней.350г.ст.12шт(Казахстан, Кыргызстан, Армения)', 'Пр.йогурт.ЛМ.0,3%.с соком персика и абрикоса.350г.ст.12шт', 'Спр.БЛ.72%.10кг.полиэт.', 'Спр.БЛ.82%.10кг.полиэт.', 'Десерт с творогом БЛ.9%.с клубн.350г.ст.12шт(Казахстан)', 'Пр.скв.твор.с вишней и шоколадом.ДМ.23%.5кг.кор', 'Десерт БЛ.Йогуртель.7,2%.с малиной.смешан.350г.ст.12шт', 'Пр.скв.твор.со вкус.ванилина.ДМ.23%.5кг.кор', 'Пр.скв.твор.с курагой.ДМ.23%.5кг.кор', 'Десерт БЛ.Йогуртель.7,2%.с земляникой.смешан.350г.ст.12шт', 'Десерт с творогом БЛ.9%.с черникой.350г.ст.12шт(Казахстан)', 'Пр.скв.твор.с изюмом.ДМ.23%.5кг.кор', 'Десерт БЛ.Йогуртель.7,2%.с вишней и черешней.смешан.350г.ст.12шт', 'Йогурт.Дубки.2,5%.с черникой.двухсл.130г.ст.8шт', 'Масса твор.с изюмом.Дубки.5%.180г.ф/пак.8шт']",18
10,1,cluster_1,"['Йогурт.Дубки.2,5%.с вишн.двухсл.130г.ст.8шт', 'Масса твор.с ванилином.Дубки.5%.180г.ф/пак.8шт', 'Пр.скв.твор.БЛ.30%.180г.ф/пак.8шт', 'Пр.со смет.БЛ.20%.200г.ст.8шт.с змж', 'Пр.скв.смет.ДМ.20%.5кг.вед.с змж(ж)', 'Пр.плав.сыр.БЛ.40%.колб.350г.пл.10шт', 'Спр.ДК.72%.10кг.перг', 'Спр.БЛ.82%.5кг.перг.', 'Мас.КП.72,5%.180г.фол.8шт', 'Спр.БЛ.72%.5кг.перг.(цвет.кор)', 'Пр.пл.с сыром ЯК.55%.паст.5кг.вед', 'Спр.КУ.72%.5 кг.перг.', 'Мас.82,5%.5кг.перг#', 'Мас.КУ.72,5%.20кг.полиэт.', 'Пр.скв.твор.Домашний.ДМ.28%.5кг.кор', 'Йогурт.7Утра.2,5%.с абрикосом.смешан.350г.ст.12шт', 'Мас.7Утра.82,5%.180г.фол.8шт', 'Биойогурт.7Утра.2,5%.150г.ст.8шт']",18
