"Time","йогурт"
"2021-03-01",15
"2021-04-01",18
"2021-05-01",16
"2021-06-01",18
"2021-07-01",18
"2021-08-01",16
"2021-09-01",16
"2021-10-01",30
"2021-11-01",15
"2021-12-01",13
"2022-01-01",11
"2022-02-01",14
"2022-03-01",16
"2022-04-01",13
"2022-05-01",16
"2022-06-01",18
"2022-07-01",16
"2022-08-01",20
"2022-09-01",13
"2022-10-01",18
"2022-11-01",13
"2022-12-01",18
"2023-01-01",22
"2023-02-01",14
"2023-03-01",15
"2023-04-01",20
"2023-05-01",20
"2023-06-01",23
"2023-07-01",22
"2023-08-01",13
"2023-09-01",17
"2023-10-01",17
"2023-11-01",19
"2023-12-01",18
"2024-01-01",20
"2024-02-01",24
"2024-03-01",15
"2024-04-01",23
"2024-05-01",16
"2024-06-01",25
"2024-07-01",22
"2024-08-01",23
"2024-09-01",21
"2024-10-01",16
"2024-11-01",22
"2024-12-01",23
"2025-01-01",22
"2025-02-01",50
"2025-03-01",53
"2025-04-01",34
"2025-05-01",31
"2025-06-01",49
"2025-07-01",100
"2025-08-01",51
"2025-09-01",41
"2025-10-01",39
"2025-11-01",54
"2025-12-01",67
"2026-01-01",75
"2026-02-01",66
"2026-03-01",27
