"Time","кефир"
"2021-03-01",29
"2021-04-01",22
"2021-05-01",38
"2021-06-01",23
"2021-07-01",23
"2021-08-01",25
"2021-09-01",24
"2021-10-01",28
"2021-11-01",27
"2021-12-01",29
"2022-01-01",24
"2022-02-01",35
"2022-03-01",28
"2022-04-01",34
"2022-05-01",34
"2022-06-01",39
"2022-07-01",39
"2022-08-01",30
"2022-09-01",28
"2022-10-01",27
"2022-11-01",32
"2022-12-01",32
"2023-01-01",37
"2023-02-01",35
"2023-03-01",46
"2023-04-01",42
"2023-05-01",57
"2023-06-01",38
"2023-07-01",57
"2023-08-01",43
"2023-09-01",16
"2023-10-01",43
"2023-11-01",43
"2023-12-01",29
"2024-01-01",42
"2024-02-01",58
"2024-03-01",41
"2024-04-01",42
"2024-05-01",43
"2024-06-01",39
"2024-07-01",30
"2024-08-01",35
"2024-09-01",42
"2024-10-01",39
"2024-11-01",39
"2024-12-01",30
"2025-01-01",51
"2025-02-01",46
"2025-03-01",39
"2025-04-01",54
"2025-05-01",44
"2025-06-01",76
"2025-07-01",94
"2025-08-01",85
"2025-09-01",70
"2025-10-01",68
"2025-11-01",52
"2025-12-01",100
"2026-01-01",77
"2026-02-01",73
"2026-03-01",37
