"Time","Кварк"
"2021-03-01",62
"2021-04-01",59
"2021-05-01",68
"2021-06-01",62
"2021-07-01",59
"2021-08-01",48
"2021-09-01",62
"2021-10-01",74
"2021-11-01",77
"2021-12-01",64
"2022-01-01",82
"2022-02-01",70
"2022-03-01",72
"2022-04-01",68
"2022-05-01",65
"2022-06-01",62
"2022-07-01",65
"2022-08-01",75
"2022-09-01",61
"2022-10-01",81
"2022-11-01",71
"2022-12-01",75
"2023-01-01",81
"2023-02-01",77
"2023-03-01",61
"2023-04-01",59
"2023-05-01",59
"2023-06-01",59
"2023-07-01",64
"2023-08-01",52
"2023-09-01",50
"2023-10-01",48
"2023-11-01",51
"2023-12-01",59
"2024-01-01",66
"2024-02-01",91
"2024-03-01",70
"2024-04-01",54
"2024-05-01",53
"2024-06-01",58
"2024-07-01",54
"2024-08-01",60
"2024-09-01",59
"2024-10-01",59
"2024-11-01",67
"2024-12-01",62
"2025-01-01",74
"2025-02-01",74
"2025-03-01",79
"2025-04-01",67
"2025-05-01",75
"2025-06-01",80
"2025-07-01",100
"2025-08-01",65
"2025-09-01",42
"2025-10-01",43
"2025-11-01",52
"2025-12-01",50
"2026-01-01",76
"2026-02-01",55
"2026-03-01",41
