"Time","Сыр"
"2021-03-01",46
"2021-04-01",46
"2021-05-01",43
"2021-06-01",42
"2021-07-01",46
"2021-08-01",49
"2021-09-01",49
"2021-10-01",52
"2021-11-01",68
"2021-12-01",69
"2022-01-01",61
"2022-02-01",60
"2022-03-01",54
"2022-04-01",57
"2022-05-01",52
"2022-06-01",56
"2022-07-01",56
"2022-08-01",55
"2022-09-01",51
"2022-10-01",57
"2022-11-01",71
"2022-12-01",71
"2023-01-01",59
"2023-02-01",60
"2023-03-01",61
"2023-04-01",66
"2023-05-01",64
"2023-06-01",66
"2023-07-01",68
"2023-08-01",64
"2023-09-01",66
"2023-10-01",65
"2023-11-01",83
"2023-12-01",83
"2024-01-01",71
"2024-02-01",69
"2024-03-01",71
"2024-04-01",64
"2024-05-01",63
"2024-06-01",68
"2024-07-01",62
"2024-08-01",65
"2024-09-01",68
"2024-10-01",67
"2024-11-01",92
"2024-12-01",88
"2025-01-01",74
"2025-02-01",77
"2025-03-01",68
"2025-04-01",71
"2025-05-01",73
"2025-06-01",70
"2025-07-01",76
"2025-08-01",71
"2025-09-01",73
"2025-10-01",79
"2025-11-01",99
"2025-12-01",100
"2026-01-01",91
"2026-02-01",97
"2026-03-01",79
