"Time","Сметана"
"2021-03-01",41
"2021-04-01",44
"2021-05-01",44
"2021-06-01",49
"2021-07-01",53
"2021-08-01",47
"2021-09-01",54
"2021-10-01",60
"2021-11-01",62
"2021-12-01",56
"2022-01-01",47
"2022-02-01",47
"2022-03-01",47
"2022-04-01",50
"2022-05-01",36
"2022-06-01",47
"2022-07-01",52
"2022-08-01",50
"2022-09-01",48
"2022-10-01",52
"2022-11-01",49
"2022-12-01",68
"2023-01-01",56
"2023-02-01",52
"2023-03-01",58
"2023-04-01",59
"2023-05-01",51
"2023-06-01",57
"2023-07-01",62
"2023-08-01",49
"2023-09-01",59
"2023-10-01",58
"2023-11-01",68
"2023-12-01",69
"2024-01-01",65
"2024-02-01",63
"2024-03-01",68
"2024-04-01",59
"2024-05-01",65
"2024-06-01",58
"2024-07-01",58
"2024-08-01",56
"2024-09-01",56
"2024-10-01",63
"2024-11-01",62
"2024-12-01",70
"2025-01-01",64
"2025-02-01",66
"2025-03-01",62
"2025-04-01",56
"2025-05-01",64
"2025-06-01",100
"2025-07-01",92
"2025-08-01",73
"2025-09-01",58
"2025-10-01",62
"2025-11-01",62
"2025-12-01",77
"2026-01-01",71
"2026-02-01",69
"2026-03-01",63
