Номенклатура;Дата;Количество;Цена;Сумма;НДС;Контрагент;Организация
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2026-03-06 00:05:28;648.0;162.53;52659.2;9495.92;Лента ООО РЦ Лешино;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2026-03-03 23:59:57;448.0;148.4;33241.6;5994.39;ВРА-М ООО;"ООО ""7 Утра"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2026-03-03 18:42:43;448.0;158.01;35395.23;6382.75;Лента ООО РЦ Ижора;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2026-02-27 23:59:57;744.0;148.4;55204.8;9954.96;ВРА-М ООО;"ООО ""7 Утра"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2026-02-27 21:27:18;744.0;162.53;60460.56;10902.72;Лента ООО РЦ Лешино;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2026-02-26 23:59:57;944.0;148.4;70044.8;12631.03;ВРА-М ООО;"ООО ""7 Утра"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2026-02-26 05:30:57;944.0;150.5;71035.62;12809.7;Лента ООО РЦ Ростов ;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2026-02-25 23:59:57;888.0;148.4;65889.6;11881.73;ВРА-М ООО;"ООО ""7 Утра"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2026-02-25 11:39:03;888.0;150.5;66821.64;12049.8;Лента ООО РЦ Тольятти;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2026-02-24 23:59:57;1288.0;148.4;95569.6;17233.86;ВРА-М ООО;"ООО ""7 Утра"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2026-02-24 14:21:21;664.0;158.01;52460.78;9460.14;Лента ООО РЦ Ижора;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2026-02-24 08:29:27;624.0;220.19;68697.91;12388.15;Лента ООО РЦ Новосибирск;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2026-02-20 23:59:57;760.0;148.4;56392.0;10169.05;ВРА-М ООО;"ООО ""7 Утра"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2026-02-20 01:52:26;760.0;162.53;61760.79;11137.19;Лента ООО РЦ Лешино;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2026-02-17 23:59:57;864.0;148.4;64108.8;11560.6;ВРА-М ООО;"ООО ""7 Утра"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2026-02-17 22:24:03;496.0;158.01;39187.57;7066.61;Лента ООО РЦ Ижора;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2026-02-17 17:15:32;368.0;168.21;30951.3;5581.38;Лента ООО РЦ Екатеринбург;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2026-02-16 23:59:58;536.0;148.4;39771.2;7171.86;7 Утра ООО;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2026-02-12 23:59:57;1680.0;148.4;124656.0;22478.95;ВРА-М ООО;"ООО ""7 Утра"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2026-02-12 22:14:31;856.0;162.53;69562.16;12544.0;Лента ООО РЦ Лешино;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2026-02-12 06:36:20;824.0;150.5;62005.67;11181.35;Лента ООО РЦ Ростов ;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2026-02-11 23:59:57;880.0;148.4;65296.0;11774.69;ВРА-М ООО;"ООО ""7 Утра"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2026-02-11 22:59:52;880.0;150.5;66219.65;11941.25;Лента ООО РЦ Тольятти;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2026-02-10 23:59:57;1256.0;148.4;93195.2;16805.69;ВРА-М ООО;"ООО ""7 Утра"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2026-02-10 20:13:37;304.0;168.21;25568.47;4610.71;Лента ООО РЦ Екатеринбург;"ООО ""ВоронежАгро-М"""
