Номенклатура;Дата;Количество;Цена;Сумма;НДС;Контрагент;Организация
Спр.БЛ.82%.1000г.фол.6шт;2026-03-11 23:11:50;2040.0;155.0;316200.0;0.0;Бяшимов Д. ЧП (Туркменистан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2026-01-12 00:00:00;18720.0;155.0;2901600.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2025-12-24 00:00:00;18714.0;155.0;2900670.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2025-12-19 00:00:00;18510.0;155.0;2869050.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2025-10-24 00:00:00;18720.0;155.0;2901600.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2025-10-16 23:00:00;2400.0;155.0;372000.0;0.0;Бяшимов Д. ЧП (Туркменистан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2025-09-04 18:31:17;18720.0;150.0;2808000.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2025-07-22 00:00:00;2040.0;163.0;332520.0;0.0;Бяшимов Д. ЧП (Туркменистан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2025-05-12 15:30:19;18720.0;185.0;3463200.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2025-03-28 18:49:24;18720.0;211.0;3949920.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2025-02-14 12:00:00;17520.0;198.0;3468960.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2025-01-20 16:38:01;10080.0;165.0;1663200.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2024-11-28 00:00:00;10080.0;154.28;1555142.4;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2024-11-07 12:00:00;3000.0;165.0;495000.0;0.0;Бяшимов Д. ЧП (Туркменистан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2024-10-18 12:40:17;18720.0;145.0;2714400.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2024-10-07 16:52:12;16716.0;145.0;2423820.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2024-09-05 12:00:03;6198.0;140.0;867720.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2024-07-22 17:00:00;2100.0;143.0;300300.0;0.0;Тойли Якуп ИП (Туркменистан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2024-06-25 17:00:59;18720.0;135.0;2527200.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2024-06-20 15:14:00;6996.0;135.0;944460.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2024-04-17 17:22:18;18720.0;135.0;2527200.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2024-02-28 23:31:09;17280.0;135.0;2332800.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2024-02-01 18:16:22;18720.0;135.0;2527200.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2023-11-17 22:21:39;504.0;140.0;70560.0;0.0;КАРХАЧ ООО (Армения);"ООО ""7 Утра"""
